lag_index,lag_fs,dimensionless_weight,equivalent_kernel_1_s,continuous_kernel_1_s
358,895.0,5.779506848269556e-07,231180273.93078223,231181492.4174936
359,897.5,5.548900505685009e-07,221956020.22740033,221955184.88276073
360,900.0,5.318539510318661e-07,212741580.41274643,212738822.63740444
361,902.5,5.089000724457374e-07,203560028.97829497,203555476.8464639
362,905.0,4.860822592921552e-07,194432903.71686208,194426681.85635787
363,907.5,4.6345061763281874e-07,185380247.0531275,185372476.5418164
364,910.0,4.4105162154499635e-07,176420648.61799854,176411446.89588895
365,912.5,4.189282221976888e-07,167571288.87907553,167560769.6752982
366,915.0,3.971199591214351e-07,158847983.64857405,158836256.9224969
367,917.5000000000001,3.7566307324760514e-07,150265229.29904205,150252401.1947839
368,919.9999999999999,3.545906213151745e-07,141836248.5260698,141822421.3396877
369,922.5,3.339325912647755e-07,133573036.5059102,133558308.66454244
370,925.0,3.137160182611683e-07,125486407.30446732,125470873.35674153
371,927.5,2.939651010062912e-07,117586040.40251648,117569791.01953009
372,930.0000000000001,2.7470131802551936e-07,109880527.21020775,109863649.19641866
373,932.4999999999999,2.559435436298454e-07,102377417.45193815,102359993.76531115
374,935.0,2.3770816327619268e-07,95083265.31047708,95065375.09125067
375,937.5,2.2000918806714294e-07,88003675.22685717,87985393.83432011
376,940.0,2.028583681498262e-07,81143347.25993048,81124746.31660262
377,942.5000000000001,1.8626530479168694e-07,74506121.91667478,74487269.35931541
378,944.9999999999999,1.702375609282166e-07,68095024.37128663,68075984.50817198
379,947.5,1.5478076999459114e-07,61912307.997836456,61893141.57175752
380,950.0,1.3989874286936592e-07,55959497.14774637,55940261.40421466
381,952.5,1.25593572774086e-07,50237429.10963441,50218177.869784534
382,955.0000000000001,1.1186573798771795e-07,44746295.19508718,44727078.93279772
383,957.4999999999999,9.87142022493397e-08,39485680.899735875,39466546.8225022
384,960.0,8.613651273640045e-08,34454605.09456018,34435597.2276759
385,962.5,7.412889551922084e-08,29651558.207688335,29632717.48131273
386,965.0,6.26863484051156e-08,25074539.362046238,25055903.700749435
387,967.5000000000001,5.180273109770456e-08,20721092.439081825,20702696.853482883
388,969.9999999999999,4.147085260855384e-08,16588341.043421535,16570217.723551273
389,972.5,3.1682555869309934e-08,12673022.347723974,12655200.75776488
390,975.0,2.242879950296049e-08,8971519.801184196,8954026.775257185
391,977.5,1.3699736722744887e-08,5479894.689097955,5462754.527783338
392,980.0000000000001,5.484791336626278e-09,2193916.534650511,2177151.101948102
393,982.4999999999999,-2.2272691559547004e-09,-890907.6623818801,-907278.8419283408
394,984.9999999999999,-9.448263379988795e-09,-3779305.351995518,-3795264.9962731437
395,987.5,-1.619052881063601e-08,-6476211.524254403,-6491744.496893533
396,990.0,-2.246685739863442e-08,-8986742.959453769,-9001836.173710559
397,992.5000000000001,-2.8290434078425804e-08,-11316173.63137032,-11330815.954786267
398,994.9999999999999,-3.367477813567882e-08,-13469911.254271528,-13484093.414309505
399,997.4999999999999,-3.863368740502627e-08,-15453474.962010508,-15467189.452846704
400,1000.0,-4.318118526337224e-08,-17272474.105348896,-17285715.09598787
